,C1,C2,C3,C4,FC1,CZ,FC2,PZ
0,-6787.6337890625,81856.9765625,35034.70703125,75140.390625,12176.658203125,126930.203125,48824.9375,79344.328125
1,-6660.8427734375,81917.1015625,35173.5625,74677.09375,12223.53125,126865.9296875,48620.0859375,79242.3828125
2,-6385.85107421875,81937.2734375,35391.28515625,73995.7890625,12252.904296875,126624.171875,48166.8984375,78942.5
3,-6080.24609375,81905.515625,35595.61328125,73362.9765625,12252.8564453125,126295.8671875,47635.89453125,78563.078125
4,-5850.4111328125,81827.5546875,35718.20703125,72977.8359375,12217.9521484375,125989.2578125,47206.07421875,78226.5234375
5,-5776.5009765625,81756.7421875,35717.44140625,73046.7890625,12183.619140625,125855.21875,47077.9453125,78096.3515625
6,-5916.64306640625,81696.7109375,35570.2890625,73533.015625,12140.3232421875,125927.9375,47289.99609375,78206.640625
7,-6216.76513671875,81676.5390625,35334.2109375,74259.0546875,12107.326171875,126185.3359375,47771.88671875,78524.40625
8,-6519.69921875,81708.484375,35132.171875,74871.59375,12103.224609375,126508.34375,48297.36328125,78900.390625
9,-6742.19189453125,81778.296875,35017.11328125,75212.109375,12131.8349609375,126795.640625,48696.953125,79216.8671875
10,-6797.26611328125,81862.6015625,35033.8515625,75143.8671875,12177.75390625,126936.828125,48822.55078125,79350.90625
11,-6673.9560546875,81914.671875,35165.50390625,74676.5234375,12215.185546875,126864.1640625,48612.45703125,79240.6640625
0,-6399.91796875,81931.6484375,35382.609375,73991.3984375,12244.1298828125,126619.2578125,48156.45703125,78938.6328125
1,-6084.251953125,81910.3359375,35598.37890625,73371.2265625,12254.1435546875,126301.921875,47638.46875,78569.8515625
2,-5840.39697265625,81844.484375,35731.4140625,72993.953125,12230.587890625,126005.7109375,47219.7578125,78242.9765625
3,-5780.98291015625,81762.8515625,35718.63671875,73059.7578125,12186.576171875,125864.375,47088.0546875,78105.265625
4,-5917.8828125,81709.8203125,35575.91796875,73559.2890625,12149.4296875,125947.0625,47315.5546875,78226.4296875
5,-6211.80615234375,81697.8515625,35348.1328125,74288.8984375,12124.30078125,126214.328125,47805.83984375,78553.875
0,-6510.06689453125,81730.234375,35150.578125,74892.2421875,12122.4892578125,126537.859375,48328.1171875,78930.1015625
1,-6737.3759765625,81793.5078125,35028.60546875,75219.546875,12142.8017578125,126814.5703125,48714.0703125,79237.28125
2,-6795.0732421875,81870.7578125,35041.95703125,75142.296875,12185.52734375,126944.984375,48830.41796875,79362.0703125
0,-6666.421875,81927.0703125,35178.6171875,74675.5234375,12226.7734375,126874.75,48619.94140625,79252.4921875
1,-6395.43603515625,81939.515625,35391.859375,73984.5390625,12249.708984375,126623.3125,48156.07421875,78945.6015625
2,-6088.63916015625,81908.7578125,35599.42578125,73363.359375,12252.9521484375,126299.4453125,47632.17578125,78571.8046875
