,markers,direction
1710850894.454497,270.0,270.0
1710850894.456299,4.0,270.0
1710850894.465089,1.0,270.0
1710850894.48637,1.0,270.0
1710850894.502972,1.0,270.0
1710850894.519658,1.0,270.0
1710850894.536366,1.0,270.0
1710850894.553031,1.0,270.0
1710850894.5699441,1.0,270.0
1710850894.586715,1.0,270.0
1710850894.603371,1.0,270.0
1710850894.6202738,1.0,270.0
1710850894.6366808,1.0,270.0
1710850894.6535769,1.0,270.0
1710850894.670172,1.0,270.0
1710850894.687041,1.0,270.0
1710850894.704034,1.0,270.0
1710850894.72017,1.0,270.0
1710850894.737016,1.0,270.0
1710850894.753493,1.0,270.0
1710850894.770388,1.0,270.0
1710850894.787006,1.0,270.0
1710850894.803783,1.0,270.0
1710850894.820478,1.0,270.0
1710850894.8372428,1.0,270.0
1710850894.853506,1.0,270.0
1710850894.870317,1.0,270.0
1710850894.8867671,1.0,270.0
1710850894.90379,1.0,270.0
1710850894.9202712,1.0,270.0
1710850894.9369678,1.0,270.0
1710850894.953826,1.0,270.0
1710850894.970332,1.0,270.0
1710850894.986851,1.0,270.0
1710850895.003765,1.0,270.0
1710850895.020361,1.0,270.0
1710850895.0366452,1.0,270.0
1710850895.053531,1.0,270.0
1710850895.0719192,1.0,270.0
1710850895.088301,1.0,270.0
1710850895.10403,1.0,270.0
1710850895.120707,1.0,270.0
1710850895.138816,1.0,270.0
1710850895.1473799,1.0,270.0
1710850895.170485,1.0,270.0
1710850895.186979,1.0,270.0
1710850895.205645,1.0,270.0
1710850895.2163541,1.0,270.0
1710850895.237066,1.0,270.0
1710850895.253747,1.0,270.0
1710850895.2706969,1.0,270.0
1710850895.287106,1.0,270.0
1710850895.3037271,1.0,270.0
1710850895.320174,1.0,270.0
1710850895.3372538,1.0,270.0
1710850895.3548522,1.0,270.0
1710850895.364851,1.0,270.0
1710850895.386518,1.0,270.0
1710850895.403734,1.0,270.0
1710850895.421599,1.0,270.0
1710850895.430631,1.0,270.0
1710850895.4537332,1.0,270.0
1710850895.47018,1.0,270.0
1710850895.4889421,1.0,270.0
1710850895.505302,1.0,270.0
1710850895.521726,1.0,270.0
1710850895.538233,1.0,270.0
1710850895.549559,1.0,270.0
1710850895.570348,1.0,270.0
1710850895.587028,1.0,270.0
1710850895.604188,1.0,270.0
1710850895.6204312,1.0,270.0
1710850895.637056,1.0,270.0
1710850895.655061,1.0,270.0
1710850895.6715908,1.0,270.0
1710850895.688688,1.0,270.0
1710850895.701047,1.0,270.0
1710850895.720202,1.0,270.0
1710850895.737219,1.0,270.0
1710850895.753869,1.0,270.0
1710850895.7703948,1.0,270.0
1710850895.787095,1.0,270.0
1710850895.8040278,1.0,270.0
1710850895.81989,1.0,270.0
